room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18677402,1461,129826433,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,25.0,,Home away from home,2017-07-23 04:58:19.066379,-1.304939,36.776903,0101000020E61000000795B88E716342402C6684B707E1F4BF
16432155,1461,107740054,Shared room,,Kenya,,Homa Bay,0,0.0,4,1.0,,35.0,,A guest center near Lake Victoria,2017-07-23 04:58:19.063880,-0.552643,34.453112,0101000020E61000006BB6F292FF39414062A06B5F40AFE1BF
14540804,1461,89969824,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,25.0,,Dru Bestro,2017-07-23 04:58:19.056457,-1.293181,36.748362,0101000020E6100000DAC87553CA5F4240EDEF6C8FDEB0F4BF
16624902,1461,109785054,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,"Serene, clean and stylish home away from home.",2017-07-23 04:58:19.053801,-1.334828,36.903163,0101000020E610000087FA5DD89A734240B88FDC9A745BF5BF
17521685,1461,118801161,Shared room,,Kenya,,Mombasa,0,0.0,2,1.0,,15.0,,Amazing apartment with a balcony,2017-07-23 04:58:19.051631,-3.979956,39.717893,0101000020E61000007F83F6EAE3DB4340DD26DC2BF3D60FC0
17273783,1461,116483621,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,15.0,,Friendly and comfortable home,2017-07-23 04:58:19.047488,-1.291402,36.735611,0101000020E6100000F7C95180285E4240E9D2BF2495A9F4BF
11567281,1461,61106823,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,30.0,,A home away from home,2017-07-23 04:58:19.044742,-1.295553,36.740013,0101000020E6100000B3CEF8BEB85E424048C153C895BAF4BF
7551708,1461,25166173,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,15.0,,Super memories all the times,2017-07-23 04:58:19.039548,-1.281417,36.906522,0101000020E6100000618DB3E9087442406B9DB81CAF80F4BF
11895588,1461,4482204,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,20.0,,15 minutes from JKIA Airport,2017-07-23 04:58:17.898744,-1.312544,36.899535,0101000020E6100000BE4D7FF623734240F4F928232E00F5BF
16581296,1461,45259574,Shared room,,Kenya,,Kwale,1,0.0,16,1.0,,10.0,,Bunk bed top on the balcony,2017-07-23 04:58:17.894365,-4.336164,39.554357,0101000020E610000083A7902BF5C64340C45E28603B5811C0
6755279,1461,23919563,Shared room,,Kenya,,Nakuru,0,0.0,5,1.0,,19.0,,Naka estate family of 4,2017-07-23 04:58:17.887977,-0.289683,36.151498,0101000020E610000067B45549641342403E42CD902A8AD2BF
17271715,1461,115540108,Shared room,,Kenya,,Nakuru,0,0.0,2,1.0,,12.0,,Haven of peace near hyrax hill museum,2017-07-23 04:58:17.885939,-0.48452,36.282895,0101000020E6100000D99942E735244240C381902C6002DFBF
10581632,1461,54590118,Shared room,,Kenya,,Kilifi,1,0.0,12,1.0,,28.0,,Bayern-Holiday-Resort,2017-07-23 04:58:17.883159,-3.826466,39.802742,0101000020E61000001590F63FC0E64340280CCA349A9C0EC0
17218363,1461,115889141,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,"Cosy Double room, in beautiful home",2017-07-23 04:58:17.880928,-1.32495,36.774804,0101000020E6100000AE6708C72C634240FB5C6DC5FE32F5BF
